SALES ,CLICKS,IMPS,Avg POS
0,1,12,5.3
0,2,19,4.3
0,2,24,4.6
0,1,20,4.8
0,5,28,4
0,1,20,4.1
0,2,16,3.4
0,1,6,3.3
0,3,28,3.6
0,2,17,5.2
1,5,26,6.2
0,1,34,6
0,2,24,5.9
0,1,12,5.8
0,1,21,5.9
0,1,17,5.6
0,2,35,6.8
0,2,36,7.7
0,2,44,8.1
0,1,27,6.6
0,2,55,4.8
0,4,63,4.5
0,1,29,6.6
0,1,27,6.9
0,1,18,7.2
0,3,26,5.8
0,1,37,5.5
0,2,18,5
1,2,48,4.6
1,3,17,3.6
0,8,39,1.6
0,2,36,1.5
1,2,27,1.7
0,7,60,1.6
0,6,48,1.1
0,3,38,1.4
0,4,31,1.8
0,5,30,1.2
0,7,38,1.5
0,3,30,1.8
0,1,21,2.9
0,1,16,1.5
0,1,27,1.4
0,6,46,1.5
0,1,20,2.7
0,3,31,2.7
0,1,25,3.8
0,1,27,5.1
0,2,39,4.9
0,4,27,3.6
0,2,39,4.2
0,7,29,3.9
0,13,111,3.3
0,3,31,4.6
0,10,62,4.6
0,1,34,4.6
0,3,23,5.1
0,5,52,5.9
0,3,40,6
0,6,50,6.1
0,2,36,5.1
0,1,2,16
1,16,357,5.1
1,16,364,4.2
1,29,508,4.2
1,21,427,3.8
1,27,543,4.4
1,36,584,3.8
1,29,584,3.2
1,3,140,3.3
0,26,496,3.1
1,30,472,3
1,30,471,3.5
1,28,417,3.4
1,25,325,5.2
1,17,264,3.5
1,19,272,4.1
1,10,203,3.4
1,16,326,3.4
1,34,454,2.9
1,29,405,2.8
1,27,344,3
1,30,753,2.4
1,30,1011,1.9
1,37,796,1.5
1,38,967,1.4
1,25,857,1.3
1,29,766,1.4
1,21,735,1.4
1,25,724,1.5
1,12,555,1.7
0,14,568,1.6
0,18,611,1.6
1,23,723,1.7
1,17,801,2.2
0,17,769,2.2
1,18,990,2.3
1,29,1525,2.7
0,24,809,2.2
1,19,946,2.1
0,26,1009,2
1,20,919,2.4
0,22,1259,2.5
0,13,1097,3.2
1,13,786,3.5
1,14,911,3.4
0,15,711,3.4
1,15,887,2.9
1,18,836,2.5
0,14,1001,2.6
0,16,782,2.3
1,11,629,2.1
0,9,473,2.2
0,12,651,2.2
0,14,695,3.3
0,8,562,5.2
0,12,544,5.2
0,3,346,5.6
0,6,291,5.2
0,4,225,5.9
0,5,164,6.1
0,8,244,5.6
1,6,255,5.6
0,9,283,5.4
0,6,296,6.4
0,2,132,5.9
0,3,105,6.4
0,4,224,7.4
0,8,367,7.9
0,4,212,4.9
0,1,75,5.7
0,2,54,8.8
0,2,50,4.3
0,1,1,17
0,11,261,10.1
0,2,89,13.2
0,1,75,18.8
0,1,112,17
0,1,88,16.4
1,4,100,14
0,2,126,10.6
1,13,498,8.5
0,20,544,8.1
0,4,148,11.6
0,6,137,12.4
0,5,156,11.4
0,1,80,14.1
0,2,82,15.5
0,1,67,16.3
0,1,66,15
0,2,69,15.1
0,1,59,17.7
0,2,49,14
0,1,85,14.7
0,4,94,12.5
0,2,71,15.7
0,2,98,13.7
0,8,272,8.4
0,20,710,9.1
0,32,1095,8.8
0,9,319,10.1
0,6,248,9.8
0,4,138,10.4
0,5,181,10.7
0,5,177,9.7
0,4,240,9.8
0,8,226,8.8
0,11,287,11
1,11,248,10.7
0,13,456,9.9
0,28,1081,8.6
0,8,384,8.5
0,17,569,8.8
1,20,599,9
0,23,718,9.1
1,30,1031,8
1,125,2305,3.3
1,64,1518,5.4
1,141,2108,3.4
1,152,2282,3.4
1,61,1737,5.4
1,39,1280,6.9
0,38,1491,5.8
0,38,1281,6
1,40,1067,6.8
0,37,1219,6.2
0,41,1276,6.9
1,36,1203,7.5
1,42,1141,7.6
0,63,1312,5.6
0,45,1258,5.6
1,65,1588,5.9
0,90,1766,5.8
1,72,1629,5.5
0,58,1442,5.8
1,47,1182,6.9
0,59,1200,6.5
1,64,1369,6.3
0,61,1348,6.1
1,39,978,7.7
0,37,1244,6.4
1,43,1263,6.6
1,49,1157,6.5
1,34,1019,5.3
1,64,1018,5.5
1,74,1842,4.7
1,86,1713,5
0,55,1693,4.7
1,55,1339,5.6
1,79,1398,4.5
0,58,1376,4.9
1,48,1212,5.3
1,71,1625,4.6
1,66,1380,4.5
1,118,1887,4.2
0,70,1524,4.6
1,56,1079,6
1,58,1188,5.8
1,48,1068,5.8
0,62,1296,4.7
1,53,1174,5.8
1,61,1106,6.4
0,1,20,7.2
0,1,7,6.7
0,1,17,5.8
0,1,10,7.1
0,1,39,6.8
0,1,25,6.6
0,5,53,5.2
0,4,176,3.8
0,2,16,7.6
0,1,9,12.4
0,2,26,11.5
0,1,6,9
0,1,17,8.7
0,1,12,7.3
0,2,54,5
0,1,18,5.4
0,1,21,6.5
0,2,24,4.3
0,2,41,4
0,1,22,5.2
0,3,52,3.9
0,4,24,6.3
0,1,13,6.8
0,2,18,6.7
0,1,24,8.6
0,1,28,5.9
0,2,35,6.7
0,1,29,6.3
0,1,29,5.9
0,1,28,6.4
0,1,26,6.2
0,2,36,7.8
0,1,15,5.8
0,2,58,4.1
0,1,28,6
0,4,115,3.7
0,1,81,4.4
0,3,104,3.8
0,3,105,3.7
0,4,73,4.3
0,2,47,4.2
0,7,31,2.1
0,5,22,1.6
0,4,36,1.6
0,6,30,2.8
0,7,30,1.6
1,8,48,1.9
0,4,25,1.2
1,11,51,1.4
0,3,34,1.4
1,7,26,1.5
0,10,26,1.7
0,7,26,1
1,3,32,1.2
0,3,22,1.8
0,9,50,1.1
0,8,43,1.7
0,12,43,1.5
0,9,48,1.3
0,3,17,2
0,5,23,2.3
0,3,24,1.7
0,12,53,1
0,3,23,1.8
0,4,19,1.7
0,4,55,1.4
0,2,26,1.3
0,7,25,1.1
0,11,29,1.5
0,7,40,1.5
0,10,46,1.5
0,4,20,1.5
0,7,33,1.4
0,2,20,1.5
1,8,27,1.4
0,4,33,2
1,7,49,2
0,3,24,2.2
0,4,26,1.2
0,5,19,1.9
0,4,29,1.4
0,7,36,1.6
1,7,34,1.7
0,4,33,2
0,3,34,1.4
1,7,22,1.2
0,5,23,1.8
0,3,33,1.5
0,1,27,2.3
0,7,59,1.3
0,5,25,1.7
0,7,33,1.2
0,6,46,1.8
0,2,23,1.9
0,9,42,1.9
1,2,32,2.8
0,3,13,2.8
0,1,21,2.2
0,5,16,3.2
0,2,22,2.4
0,3,19,1.8
0,3,10,1.3
0,6,52,2.7
0,4,39,1.9
0,8,46,1.8
0,9,40,1.6
0,4,21,1.2
0,4,34,1.1
0,2,10,1.9
0,5,21,1.8
0,3,13,2
0,4,16,1.3
0,2,13,1.7
0,2,17,1.9
0,6,39,1.2
0,3,29,1.8
0,7,27,1.5
0,2,16,4.8
0,6,29,5.4
0,1,16,2.7
0,6,19,5.3
0,1,9,6.7
0,2,15,3
0,3,20,4.1
0,1,22,2.5
0,4,27,2.8
0,4,35,2.7
0,2,63,9.3
0,1,60,8.1
0,3,51,7.5
0,4,54,7.9
0,1,50,8
0,2,71,7.3
0,5,181,4.8
0,5,154,4.7
0,2,84,5.7
0,5,63,7.1
0,7,76,6.4
0,4,68,4.4
0,5,55,5.2
0,4,80,4.2
0,1,60,5.3
0,4,80,4.9
0,2,90,5.5
0,4,63,5.3
0,1,101,4
0,2,48,8.9
0,5,93,6.6
0,6,106,4.7
0,4,90,4.4
0,2,112,5.5
0,1,62,5.7
0,4,78,6.5
0,4,36,5.2
0,1,29,9.3
0,2,53,9.8
0,2,39,8.3
0,4,37,8.1
0,4,42,8.8
